id,category,subject,email_text
645,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
646,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
647,social,New Friend Request,You have a new notification from your social network account.
648,updates,Policy Update Notice,Your account settings were recently modified successfully.
649,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
650,personal,Checking In,Just wanted to check if you are available for a quick discussion.
651,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
652,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
653,personal,Checking In,Just wanted to check if you are available for a quick discussion.
654,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
655,updates,Policy Update Notice,Your account settings were recently modified successfully.
656,purchases,Delivery Completed,Thank you for your order. Your purchase has been confirmed.
657,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
658,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
659,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
660,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
661,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
662,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
663,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
664,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
665,social,New Comment on Your Photo,You have a new notification from your social network account.
666,social,Someone Liked Your Post,You have a new notification from your social network account.
667,updates,Password Changed,Your account settings were recently modified successfully.
668,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
669,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
670,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
671,updates,Password Changed,Your account settings were recently modified successfully.
672,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
673,personal,Meeting Tomorrow,Just wanted to check if you are available for a quick discussion.
674,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
675,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
676,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
677,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
678,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
679,purchases,Invoice for Your Order,Thank you for your order. Your purchase has been confirmed.
680,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
681,updates,Account Security Alert,We wanted to inform you about an important update to your account.
682,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
683,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
684,personal,Checking In,Hope you are doing well. Let's catch up soon.
685,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
686,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
687,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
688,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
689,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
690,spam,Claim Your Prize Now,Congratulations you have been selected to receive a huge reward. Click now.
691,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
692,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
693,work,Team Collaboration Request,Please coordinate with the design team for the upcoming feature update.
694,purchases,Delivery Completed,Thank you for your order. Your purchase has been confirmed.
695,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
696,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
697,work,Client Presentation Preparation,Prepare the slides for the client presentation scheduled next week.
698,personal,Project Discussion,Hope you are doing well. Let's catch up soon.
699,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
700,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
701,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
702,personal,Checking In,Just wanted to check if you are available for a quick discussion.
703,personal,Checking In,Just wanted to check if you are available for a quick discussion.
704,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
705,social,Someone Liked Your Post,You have a new notification from your social network account.
706,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
707,updates,Password Changed,We wanted to inform you about an important update to your account.
708,work,Task Assignment,You have been assigned a new task. Please check the project dashboard for details.
709,updates,Policy Update Notice,Your account settings were recently modified successfully.
710,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
711,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
712,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
713,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
714,updates,Account Security Alert,We wanted to inform you about an important update to your account.
715,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
716,updates,Password Changed,We wanted to inform you about an important update to your account.
717,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
718,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
719,personal,Checking In,Hope you are doing well. Let's catch up soon.
720,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
721,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
722,updates,System Maintenance Update,Your account settings were recently modified successfully.
723,personal,Checking In,Just wanted to check if you are available for a quick discussion.
724,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
725,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
726,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
727,work,Task Progress Update,Kindly update the progress of your assigned tasks.
728,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
729,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
730,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
731,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
732,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
733,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
734,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
735,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
736,social,New Follower Alert,You have a new notification from your social network account.
737,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
738,work,Design Review Meeting,We will review the design prototypes in tomorrow's meeting.
739,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
740,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
741,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
742,social,New Friend Request,You have a new notification from your social network account.
743,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
744,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
745,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
746,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
747,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
748,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
749,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
750,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
751,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
752,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
753,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
754,updates,Subscription Reminder,Your account settings were recently modified successfully.
755,personal,Checking In,Hope you are doing well. Let's catch up soon.
756,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
757,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
758,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
759,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
760,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
761,personal,Meeting Tomorrow,Just wanted to check if you are available for a quick discussion.
762,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
763,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
764,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
765,social,You Were Tagged in a Post,You have a new notification from your social network account.
766,updates,Password Changed,We wanted to inform you about an important update to your account.
767,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
768,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
769,updates,Policy Update Notice,We wanted to inform you about an important update to your account.
770,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
771,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
772,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
773,social,Someone Liked Your Post,You have a new notification from your social network account.
774,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
775,updates,Password Changed,Your account settings were recently modified successfully.
776,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
777,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
778,personal,Project Discussion,Hope you are doing well. Let's catch up soon.
779,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
780,updates,Account Security Alert,We wanted to inform you about an important update to your account.
781,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
782,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
783,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
784,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
785,social,New Comment on Your Photo,You have a new notification from your social network account.
786,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
787,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
788,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
789,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
790,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
791,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
792,updates,Password Changed,We wanted to inform you about an important update to your account.
793,updates,Weekly Newsletter,Your account settings were recently modified successfully.
794,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
795,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
796,updates,Weekly Newsletter,Your account settings were recently modified successfully.
797,social,You Were Tagged in a Post,You have a new notification from your social network account.
798,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
799,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
800,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
801,updates,Password Changed,Your account settings were recently modified successfully.
802,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
803,updates,Account Security Alert,Your account settings were recently modified successfully.
804,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
805,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
806,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
807,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
808,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
809,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
810,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
811,updates,Policy Update Notice,Your account settings were recently modified successfully.
812,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
813,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
814,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
815,social,You Were Tagged in a Post,You have a new notification from your social network account.
816,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
817,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
818,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
819,personal,Checking In,Hope you are doing well. Let's catch up soon.
820,updates,Subscription Reminder,Your account settings were recently modified successfully.
821,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
822,personal,Project Discussion,Hope you are doing well. Let's catch up soon.
823,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
824,personal,Checking In,Hope you are doing well. Let's catch up soon.
825,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
826,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
827,social,You Were Tagged in a Post,You have a new notification from your social network account.
828,updates,Password Changed,Your account settings were recently modified successfully.
829,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
830,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
831,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
832,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
833,updates,Account Security Alert,Your account settings were recently modified successfully.
834,updates,Password Changed,Your account settings were recently modified successfully.
835,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
836,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
837,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
838,personal,Meeting Tomorrow,Just wanted to check if you are available for a quick discussion.
839,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
840,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
841,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
842,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
843,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
844,updates,Password Changed,We wanted to inform you about an important update to your account.
845,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
846,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
847,social,New Friend Request,You have a new notification from your social network account.
848,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
849,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
850,personal,Checking In,Hope you are doing well. Let's catch up soon.
851,personal,Checking In,Hope you are doing well. Let's catch up soon.
852,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
853,social,Someone Liked Your Post,You have a new notification from your social network account.
854,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
855,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
856,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
857,purchases,Delivery Completed,Thank you for your order. Your purchase has been confirmed.
858,work,Team Collaboration Request,Please coordinate with the design team for the upcoming feature update.
859,updates,Password Changed,Your account settings were recently modified successfully.
860,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
861,updates,Password Changed,We wanted to inform you about an important update to your account.
862,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
863,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
864,work,Budget Review Meeting,Please attend the meeting to review the department budget.
865,social,New Comment on Your Photo,You have a new notification from your social network account.
866,social,New Follower Alert,You have a new notification from your social network account.
867,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
868,updates,Password Changed,Your account settings were recently modified successfully.
869,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
870,social,New Follower Alert,Your friend interacted with your recent post. Check it out now.
871,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
872,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
873,updates,Weekly Newsletter,Your account settings were recently modified successfully.
874,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
875,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
876,updates,System Maintenance Update,Your account settings were recently modified successfully.
877,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
878,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
879,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
880,updates,Account Security Alert,Your account settings were recently modified successfully.
881,work,Interview Schedule Confirmation,Your interview has been scheduled with the technical team tomorrow.
882,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
883,social,Event Invitation,You have a new notification from your social network account.
884,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
885,social,New Comment on Your Photo,You have a new notification from your social network account.
886,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
887,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
888,social,Event Invitation,You have a new notification from your social network account.
889,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
890,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
891,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
892,updates,Account Security Alert,Your account settings were recently modified successfully.
893,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
894,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
895,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
896,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
897,personal,Checking In,Hope you are doing well. Let's catch up soon.
898,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
899,work,Project Planning Discussion,Let's arrange a discussion regarding the next phase of the project.
900,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
901,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
902,updates,System Maintenance Update,Your account settings were recently modified successfully.
903,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
904,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
905,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
906,personal,Project Discussion,Hope you are doing well. Let's catch up soon.
907,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
908,social,You Were Tagged in a Post,You have a new notification from your social network account.
909,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
910,updates,Password Changed,We wanted to inform you about an important update to your account.
911,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
912,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
913,social,Event Invitation,You have a new notification from your social network account.
914,purchases,Invoice for Your Order,Thank you for your order. Your purchase has been confirmed.
915,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
916,personal,Project Discussion,Hope you are doing well. Let's catch up soon.
917,personal,Checking In,Hope you are doing well. Let's catch up soon.
918,work,Quarterly Review Reminder,This is a reminder for the upcoming quarterly performance review.
919,social,New Follower Alert,You have a new notification from your social network account.
920,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
921,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
922,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
923,updates,System Maintenance Update,Your account settings were recently modified successfully.
924,updates,Policy Update Notice,Your account settings were recently modified successfully.
925,work,Client Feedback Received,The client has provided feedback on the latest project update.
926,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
927,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
928,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
929,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
930,social,Someone Liked Your Post,You have a new notification from your social network account.
931,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
932,personal,Checking In,Hope you are doing well. Let's catch up soon.
933,work,Interview Schedule Confirmation,Your interview has been scheduled with the technical team tomorrow.
934,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
935,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
936,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
937,updates,Policy Update Notice,We wanted to inform you about an important update to your account.
938,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
939,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
940,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
941,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
942,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
943,updates,Account Security Alert,Your account settings were recently modified successfully.
944,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
945,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
946,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
947,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
948,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
949,personal,Checking In,Hope you are doing well. Let's catch up soon.
950,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
951,updates,Policy Update Notice,We wanted to inform you about an important update to your account.
952,social,You Were Tagged in a Post,You have a new notification from your social network account.
953,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
954,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
955,social,New Comment on Your Photo,You have a new notification from your social network account.
956,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
957,updates,Password Changed,Your account settings were recently modified successfully.
958,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
959,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
960,personal,Checking In,Just wanted to check if you are available for a quick discussion.
961,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
962,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
963,personal,Checking In,Hope you are doing well. Let's catch up soon.
964,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
965,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
966,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
967,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
968,updates,Policy Update Notice,We wanted to inform you about an important update to your account.
969,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
970,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
971,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
972,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
973,updates,Password Changed,We wanted to inform you about an important update to your account.
974,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
975,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
976,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
977,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
978,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
979,social,Event Invitation,You have a new notification from your social network account.
980,personal,Meeting Tomorrow,Just wanted to check if you are available for a quick discussion.
981,updates,System Maintenance Update,Your account settings were recently modified successfully.
982,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
983,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
984,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
985,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
986,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
987,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
988,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
989,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
990,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
991,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
992,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
993,spam,Claim Your Prize Now,Congratulations you have been selected to receive a huge reward. Click now.
994,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
995,purchases,Delivery Completed,Thank you for your order. Your purchase has been confirmed.
996,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
997,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
998,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
999,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
1000,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
1001,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
1002,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
1003,updates,Weekly Newsletter,Your account settings were recently modified successfully.
1004,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
1005,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
1006,updates,Subscription Reminder,Your account settings were recently modified successfully.
1007,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
1008,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
1009,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
1010,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
1011,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
1012,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
1013,social,New Follower Alert,You have a new notification from your social network account.
1014,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
1015,social,New Comment on Your Photo,You have a new notification from your social network account.
1016,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
1017,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
1018,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
1019,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
1020,purchases,Delivery Completed,Thank you for your order. Your purchase has been confirmed.
1021,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
1022,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
1023,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
1024,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
1025,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
1026,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
1027,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
1028,updates,Password Changed,Your account settings were recently modified successfully.
1029,purchases,Delivery Completed,Thank you for your order. Your purchase has been confirmed.
1030,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
1031,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
1032,updates,Password Changed,We wanted to inform you about an important update to your account.
1033,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
1034,promotions,Mega Sale Today,Huge sale on electronics and fashion items. Shop today and save big.
1035,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
1036,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
1037,spam,Claim Your Prize Now,Congratulations you have been selected to receive a huge reward. Click now.
1038,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
1039,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
1040,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
1041,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
1042,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
1043,purchases,Invoice for Your Order,Thank you for your order. Your purchase has been confirmed.
1044,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
1045,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
1046,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
1047,personal,Checking In,Hope you are doing well. Let's catch up soon.
1048,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
1049,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
1050,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
1051,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
1052,spam,Claim Your Prize Now,Congratulations you have been selected to receive a huge reward. Click now.
1053,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
1054,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
1055,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
1056,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
1057,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
1058,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
1059,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
1060,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
